,Country,y
0,Afghanistan,3.31
1,Albania,4.78
2,Algeria,4.53
3,Angola,3.65
4,Antigua and Barbuda,5.06
5,Argentina,4.73
6,Armenia,4.99
7,Australia,5.94
8,Austria,5.08
9,Azerbaijan,4.64
10,Bahamas,5.18
11,Bahrain,4.76
12,Bangladesh,4.07
13,Barbados,5.35
14,Belarus,5.57
15,Belgium,4.81
16,Belize,4.4
17,Benin,3.85
18,Bhutan,4.15
19,Bolivia (Plurinational State of),4.36
20,Bosnia and Herzegovina,5.07
21,Botswana,4.66
22,Brazil,5.76
23,Brunei Darussalam,4.03
24,Bulgaria,5.16
25,Burkina Faso,3.61
26,Burundi,4.22
27,Cabo Verde,4.93
28,Cambodia,3.4
29,Cameroon,3.88
30,Canada,4.65
31,Central African Republic,4.19
32,Chad,3.5
33,Chile,5.01
34,China,4.17
35,Colombia,4.68
36,Comoros,4.36
37,Congo,3.95
38,Costa Rica,4.7
39,Côte d’Ivoire,3.79
40,Croatia,5.08
41,Cuba,5.49
42,Cyprus,5.06
43,Czechia,5.16
44,Democratic People's Republic of Korea,3.69
45,Democratic Republic of the Congo,3.77
46,Denmark,4.98
47,Djibouti,5.07
48,Dominican Republic,4.66
49,Ecuador,4.59
50,Egypt,3.46
51,El Salvador,4.4
52,Equatorial Guinea,4.18
53,Eritrea,4.33
54,Estonia,5.91
55,Eswatini,4.19
56,Ethiopia,4.66
57,Fiji,3.5
58,Finland,5.61
59,France,4.84
60,Gabon,4.29
61,Gambia,3.91
62,Georgia,4.96
63,Germany,5.19
64,Ghana,4.15
65,Greece,5.74
66,Grenada,4.7
67,Guatemala,3.71
68,Guinea,3.86
69,Guinea-Bissau,4.02
70,Guyana,4.55
71,Haiti,4.28
72,Honduras,3.98
73,Hungary,5.1
74,Iceland,4.09
75,India,4.45
76,Indonesia,3.71
77,Iran (Islamic Republic of),4.86
78,Iraq,3.73
79,Ireland,4.76
80,Israel,4.61
81,Italy,5.14
82,Jamaica,4.82
83,Japan,4.24
84,Jordan,4.03
85,Kazakhstan,4.35
86,Kenya,4.4
87,Kiribati,3.14
88,Kuwait,5.0
89,Kyrgyzstan,4.1
90,Lao People's Democratic Republic,3.21
91,Latvia,4.86
92,Lebanon,4.67
93,Lesotho,4.77
94,Liberia,3.5
95,Libya,4.51
96,Lithuania,5.62
97,Luxembourg,5.04
98,Madagascar,4.37
99,Malawi,4.1
100,Malaysia,3.81
101,Maldives,3.69
102,Mali,3.57
103,Malta,5.07
104,Mauritania,4.08
105,Mauritius,4.35
106,Mexico,4.16
107,Micronesia (Federated States of),3.15
108,Mongolia,4.25
109,Montenegro,4.84
110,Morocco,4.53
111,Mozambique,4.1
112,Myanmar,3.69
113,Namibia,4.44
114,Nepal,3.23
115,Netherlands,4.69
116,New Zealand,5.35
117,Nicaragua,4.18
118,Niger,3.42
119,Nigeria,3.93
120,Norway,4.75
121,Oman,4.66
122,Pakistan,4.19
123,Panama,4.36
124,Papua New Guinea,2.98
125,Paraguay,5.23
126,Peru,4.76
127,Philippines,3.34
128,Poland,5.07
129,Portugal,5.67
130,Qatar,5.07
131,Republic of Korea,4.1
132,Republic of Moldova,5.37
133,Romania,4.99
134,Russian Federation,5.51
135,Rwanda,3.78
136,Saint Lucia,4.95
137,Saint Vincent and the Grenadines,4.86
138,Samoa,3.17
139,Sao Tome and Principe,3.9
140,Saudi Arabia,4.52
141,Senegal,3.87
142,Serbia,4.98
143,Seychelles,3.96
144,Sierra Leone,3.88
145,Singapore,4.57
146,Slovakia,5.09
147,Slovenia,5.09
148,Solomon Islands,2.9
149,Somalia,3.96
150,South Africa,4.58
151,South Sudan,4.42
152,Spain,5.21
153,Sri Lanka,4.06
154,Sudan,3.55
155,Suriname,4.81
156,Sweden,4.88
157,Switzerland,5.0
158,Syrian Arab Republic,3.95
159,Tajikistan,3.81
160,Thailand,4.39
161,The former Yugoslav Republic of Macedonia,4.95
162,Timor-Leste,2.99
163,Togo,3.93
164,Tonga,3.18
165,Trinidad and Tobago,5.18
166,Tunisia,4.85
167,Turkey,4.39
168,Turkmenistan,4.23
169,Uganda,4.64
170,Ukraine,6.31
171,United Arab Emirates,5.12
172,United Kingdom of Great Britain and Northern Ireland,4.46
173,United Republic of Tanzania,4.14
174,United States of America,5.86
175,Uruguay,4.96
176,Uzbekistan,4.23
177,Vanuatu,3.09
178,Venezuela (Bolivarian Republic of),4.21
179,Viet Nam,4.01
180,Yemen,3.57
181,Zambia,4.01
182,Zimbabwe,4.04
