,x1,x2,y
0,0.23,0.3,3.31
1,1.47,1.23,4.78
2,0.057,0.18,3.65
3,21.71,222.6,4.73
4,3.84,0.79,4.99
5,13.53,103.0,5.94
6,3.45,1.16,4.64
7,5.47,1.24,4.76
8,0.13,0.12,4.07
9,13.5,5.51,5.57
10,20.06,10.46,4.81
11,1.39,1.11,4.4
12,8.03,1.53,5.07
13,3.16,12.37,5.76
14,1.2,5.03,4.03
15,7.2,1.87,5.16
16,0.039,0.022000000000000002,3.61
17,0.01,0.49,4.22
18,0.39,7.09,3.4
19,14.68,48.74,4.65
20,0.13,0.64,4.36
21,0.08,0.02,3.95
22,3.93,142.0,4.7
23,11.1,4.37,5.08
24,9.06,31.06,5.49
25,12.36,2.52,5.16
26,2.28,7.6,4.66
27,0.46,7.66,4.59
28,1.6,0.26,3.46
29,0.89,2.08,4.4
30,0.68,0.43,4.18
31,16.19,6.46,5.91
32,0.076,0.38,4.19
33,0.076,0.046,4.66
34,0.22,0.56,3.5
35,23.59,109.5,5.61
36,20.91,48.7,4.84
37,0.26,0.78,4.29
38,6.71,2.33,4.96
39,13.2,49.55,5.19
40,0.057999999999999996,0.065,4.15
41,5.8,8.78,5.74
42,0.49,46.15,3.71
43,0.025,0.008,3.86
44,0.91,0.0,4.55
45,0.075,0.56,4.28
46,0.66,0.62,3.98
47,11.08,2.48,5.1
48,0.29,0.069,4.45
49,0.31,0.17,3.71
50,2.02,5.17,4.86
51,0.34,0.11,3.73
52,9.87,88.09,4.61
53,5.98,3.8,5.14
54,1.15,0.38,4.82
55,11.87,3.04,4.24
56,1.12,1.27,4.03
57,1.69,0.41,4.1
58,1.21,3.3,4.67
59,18.45,15.86,5.62
60,0.057999999999999996,0.062,4.37
61,1.05,1.03,3.81
62,2.39,2.15,3.69
63,0.028999999999999998,0.011000000000000001,3.57
64,0.07200000000000001,0.14,4.08
65,0.21,3.46,4.16
66,4.03,0.1,4.25
67,0.84,0.57,4.53
68,0.046,0.39,4.1
69,0.37,1.44,4.44
70,0.36,0.52,3.23
71,20.87,123.5,4.69
72,0.69,1.79,4.18
73,0.013999999999999999,0.019,3.42
74,48.04,73.52,4.75
75,1.74,0.79,4.66
76,4.03,7.33,4.36
77,2.95,9.51,4.76
78,0.52,0.88,3.34
79,24.18,16.35,5.07
80,2.71,1.41,5.07
81,5.79,1.59,4.1
82,4.55,0.91,5.37
83,5.66,1.48,4.99
84,8.48,4.64,5.51
85,0.06,0.39,3.78
86,0.51,3.07,3.9
87,1.32,2.03,4.52
88,0.2,0.02,3.87
89,8.64,4.55,4.98
90,2.13,3.2,3.96
91,0.040999999999999995,0.027999999999999997,3.88
92,11.95,9.3,5.09
93,0.025,0.26,4.42
94,0.52,0.25,4.06
95,1.27,0.54,4.81
96,43.96,84.14,5.0
97,0.37,1.07,3.95
98,0.72,1.75,4.39
99,14.43,2.4,4.95
100,0.081,0.081,2.99
101,0.054000000000000006,0.4,3.93
102,2.82,1.88,3.18
103,1.64,2.54,4.39
104,0.08199999999999999,0.037000000000000005,4.64
105,1.65,0.76,5.12
106,0.055999999999999994,0.009000000000000001,4.14
107,10.54,29.86,5.86
108,2.61,0.09,4.23
109,0.38,0.76,3.09
110,0.2,0.41,3.57
111,0.055999999999999994,0.031,4.01
112,0.095,0.057,4.04
